lambda_value, threshold, percent_correct, ARI, duration, iterations
1e-07,1481.48148148,1.0,1.0,5.958399,0
1e-07,1604.9382716,1.0,1.0,5.980887,0
1e-07,1728.39506173,1.0,1.0,5.833082,0
1e-07,1851.85185185,1.0,1.0,5.933404,0
1e-07,1975.30864198,1.0,1.0,5.938738,0
1e-07,2098.7654321,1.0,1.0,6.0231580000000005,0
3.1622776601683796e-06,555.555555556,0.9,0.8979583590095869,17.462687,19.0
3.1622776601683796e-06,1111.11111111,0.999373,0.9993063844673405,5.629505,0
3.1622776601683796e-06,1666.66666667,0.979532,0.9788993653139134,5.625237,0
3.1622776601683796e-06,2222.22222222,0.916866,0.9186625063754329,5.592715,0
3.1622776601683796e-06,2777.77777778,0.826488,0.8187711804889493,5.622180999999999,0
3.1622776601683796e-06,3333.33333333,0.726725,0.6671258325095789,5.484334,0
3.1622776601683796e-06,679.012345679,0.9,0.8979583590095869,5.591856,0
3.1622776601683796e-06,802.469135802,0.999998,0.9999977777982719,5.634889,0
3.1622776601683796e-06,925.925925926,0.999961,0.9999566792088789,5.612849,0
3.1622776601683796e-06,1049.38271605,0.99971,0.999678480542278,5.5948839999999995,0
3.1622776601683796e-06,1172.83950617,0.998836,0.9987164681315729,5.619420000000001,0
3.1622776601683796e-06,1296.2962963,0.996908,0.9966249108309843,5.638878999999999,0
3.1622776601683796e-06,1419.75308642,0.993293,0.9928001740959557,5.610409,0
3.1622776601683796e-06,1543.20987654,0.987568,0.9869138252195478,5.629849,0
3.162277660168379e-07,555.555555556,0.7,0.6721291641891902,22.384339,49.0
3.162277660168379e-07,1111.11111111,1.0,1.0,5.632366,0
3.162277660168379e-07,1666.66666667,1.0,1.0,5.612343,0
3.162277660168379e-07,2222.22222222,0.999995,0.9999944446475347,5.552866,0
3.162277660168379e-07,2777.77777778,0.999747,0.9997195179232153,5.62527,0
3.162277660168379e-07,3333.33333333,0.998167,0.9979960537351399,5.64913,0
3.162277660168379e-07,3888.88888889,0.99371,0.9933734942301181,5.658027000000001,0
3.162277660168379e-07,4444.44444444,0.985254,0.9854280609243703,5.609875,0
3.162277660168379e-07,5000.0,0.973103,0.9754213686597191,5.5521069999999995,0
3.162277660168379e-07,679.012345679,0.8,0.736840360097485,5.5885549999999995,0
3.162277660168379e-07,802.469135802,0.8,0.736840360097485,5.56683,0
3.162277660168379e-07,925.925925926,0.8,0.736840360097485,5.661605,0
3.162277660168379e-07,1049.38271605,0.9,0.8979583590095869,5.583096,0
3.162277660168379e-07,1172.83950617,1.0,1.0,5.627943999999999,0
3.162277660168379e-07,1296.2962963,1.0,1.0,5.577387,0
3.162277660168379e-07,1419.75308642,1.0,1.0,5.6212610000000005,0
3.162277660168379e-07,1543.20987654,1.0,1.0,5.579496,0
1.7782794100389225e-06,555.555555556,0.8,0.736840360097485,18.297875,24.0
1.7782794100389225e-06,1111.11111111,0.999995,0.9999944446475347,5.567572,0
1.7782794100389225e-06,1666.66666667,0.99776,0.9975514880136964,5.574499,0
1.7782794100389225e-06,2222.22222222,0.980731,0.9805837331839332,5.609858,0
1.7782794100389225e-06,2777.77777778,0.942196,0.9462271354855959,5.587859,0
1.7782794100389225e-06,3333.33333333,0.886405,0.8935551246562875,5.544114,0
1.7782794100389225e-06,3888.88888889,0.822136,0.8171995795846133,5.585712,0
1.7782794100389225e-06,4444.44444444,0.752826,0.7096324047021935,5.5800659999999995,0
1.7782794100389225e-06,5000.0,0.679194,0.5771154139169442,5.577347,0
1.7782794100389225e-06,679.012345679,0.9,0.8979583590095869,5.606268,0
1.7782794100389225e-06,802.469135802,0.9,0.8979583590095869,5.537239,0
1.7782794100389225e-06,925.925925926,1.0,1.0,5.581247,0
1.7782794100389225e-06,1049.38271605,0.999998,0.9999977777982719,5.626017999999999,0
1.7782794100389225e-06,1172.83950617,0.999984,0.9999822246539234,5.603793,0
1.7782794100389225e-06,1296.2962963,0.999895,0.9998834370495756,5.572657,0
1.7782794100389225e-06,1419.75308642,0.999609,0.9995669734087482,5.6394150000000005,0
1.7782794100389225e-06,1543.20987654,0.998947,0.9988394360467316,5.609528,0
5.62341325190349e-07,555.555555556,0.7,0.6721291641891902,19.97141,34.0
5.62341325190349e-07,1111.11111111,1.0,1.0,5.623393,0
5.62341325190349e-07,1666.66666667,1.0,1.0,5.6204670000000005,0
5.62341325190349e-07,2222.22222222,0.999783,0.9997593492816632,5.6088759999999995,0
5.62341325190349e-07,2777.77777778,0.997593,0.9973792038110862,5.551425,0
5.62341325190349e-07,3333.33333333,0.990348,0.9900444839715645,5.56387,0
5.62341325190349e-07,3888.88888889,0.97668,0.9778719256732076,5.585031000000001,0
5.62341325190349e-07,4444.44444444,0.956922,0.9623500754820272,5.623982,0
5.62341325190349e-07,5000.0,0.932373,0.9441962918939358,5.508422,0
5.62341325190349e-07,679.012345679,0.8,0.736840360097485,5.581832,0
5.62341325190349e-07,802.469135802,0.8,0.736840360097485,5.540156,0
5.62341325190349e-07,925.925925926,0.9,0.8979583590095869,5.588008,0
5.62341325190349e-07,1049.38271605,1.0,1.0,5.531564,0
5.62341325190349e-07,1172.83950617,1.0,1.0,5.668536,0
5.62341325190349e-07,1296.2962963,1.0,1.0,5.625053,0
5.62341325190349e-07,1419.75308642,1.0,1.0,5.595155,0
5.62341325190349e-07,1543.20987654,1.0,1.0,5.584667,0
