SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_STREAMING_THRESHOLD,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.200000,64,256,0,4,5.55139,5.55139,2.01834,0,0
0,0,0.200000,128,256,0,4,4.87084,4.87084,2.04192,0,0
0,0,0.200000,256,256,0,4,4.50684,4.50684,2.02213,0,0
0,0,0.200000,512,256,0,4,4.49862,4.49862,2.02194,0,0
0,1,0.200000,16,256,0,4,8.8441,8.8441,2.03188,0,0
0,1,0.200000,32,256,0,4,6.89831,6.89831,2.00542,0,0
0,1,0.200000,64,256,0,4,5.4361,5.4361,1.98279,0,0
0,1,0.200000,128,256,0,4,4.93927,4.93927,2.1003,0,0
0,1,0.200000,256,256,0,4,4.74741,4.74741,1.90954,0,0
0,1,0.200000,512,256,0,4,4.59543,4.59543,2.00917,0,0
0,0,0.200000,16,256,1,4,8.24078,8.24078,2.05941,0,0
0,0,0.200000,32,256,1,4,6.40641,6.40641,2.12099,0,0
0,0,0.200000,64,256,1,4,5.16906,5.16906,2.05661,0,0
0,0,0.200000,128,256,1,4,4.65733,4.65733,2.07093,0,0
0,0,0.200000,256,256,1,4,4.38746,4.38746,2.0276,0,0
0,0,0.200000,512,256,1,4,4.50328,4.50328,2.0629,0,0
0,1,0.200000,16,256,1,4,8.43835,8.43835,2.05173,0,0
0,1,0.200000,32,256,1,4,6.89186,6.89186,2.10571,0,0
0,1,0.200000,64,256,1,4,5.12252,5.12252,2.11747,0,0
0,1,0.200000,128,256,1,4,4.69498,4.69498,2.0286,0,0
0,1,0.200000,256,256,1,4,4.4594,4.4594,2.06516,0,0
0,1,0.200000,512,256,1,4,4.22833,4.22833,2.06305,0,0
